country,year,total_population,urban_pop_ratio,forest_area_ratio,gdp_growth_rate,gdp_growth_usd,co2_emission_kt,agri_land_ratio,methane_emission_kt,livestock_prod_ind,food_prod_ind,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,num_of_weather_station,land_area_sq_km,country.1,year.1,HWF,HWD,HWN,HWA,HWM,temp_mean,temp_median,is_hw_happend
AW,1980,60097.0,50.472,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1980,,,,,,,,False
AW,1981,60561.0,50.456,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1981,,,,,,,,False
AW,1982,61341.0,50.441,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1982,,,,,,,,False
AW,1983,62213.0,50.426,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1983,,,,,,,,False
AW,1984,62826.0,50.411,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1984,,,,,,,,False
AW,1985,63024.0,50.395,,,,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1985,,,,,,,,False
AW,1986,62645.0,50.38,,,405586592.178771,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1986,,,,,,,,False
AW,1987,61838.0,50.365,,16.0784313725487,487709497.206704,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1987,,,,,,,,False
AW,1988,61072.0,50.35,,18.6486486486489,596648044.692737,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1988,,,,,,,,False
AW,1989,61033.0,50.335,,12.1298405466969,695530726.256983,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1989,,,,,,,,False
AW,1990,62152.0,50.319,2.33333333333333,3.96140172676478,764804469.273743,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1990,,,,,,,,False
AW,1991,64623.0,50.304,2.33333333333333,7.96287249633627,872067039.106145,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1991,,,,,,,,False
AW,1992,68240.0,49.998,2.33333333333333,5.88235294117645,958659217.877095,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1992,,,,,,,,False
AW,1993,72495.0,49.588,2.33333333333333,7.30769230769222,1083240223.46369,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1993,,,,,,,,False
AW,1994,76705.0,49.177,2.33333333333333,8.20390282755872,1245810055.86592,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1994,,,,,,,,False
AW,1995,80324.0,48.767,2.33333333333333,2.54714390872277,1320670391.06145,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1995,,,,,,,,False
AW,1996,83211.0,48.356,2.33333333333333,1.18578817164962,1379888268.15642,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1996,,,,,,,,False
AW,1997,85450.0,47.946,2.33333333333333,7.04687397800615,1531843575.41899,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1997,,,,,,,,False
AW,1998,87280.0,47.536,2.33333333333333,1.99198585247491,1665363128.49162,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1998,,,,,,,,False
AW,1999,89009.0,47.127,2.33333333333333,1.23804210577079,1722905027.93296,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,1999,,,,,,,,False
AW,2000,90866.0,46.717,2.33333333333333,7.6165881939646,1873184357.5419,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2000,,,,,,,,False
AW,2001,92892.0,46.339,2.33333333333333,4.19596280335676,1896648044.69274,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2001,,,,,,,,False
AW,2002,94992.0,45.972,2.33333333333333,-0.957771005659552,1962011173.18436,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2002,,,,,,,,False
AW,2003,97016.0,45.606,2.33333333333333,1.12087912087912,2044134078.21229,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2003,,,,,,,,False
AW,2004,98744.0,45.24,2.33333333333333,7.28102586394262,2254748603.35196,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2004,,,,,,,,False
AW,2005,100028.0,44.875,2.33333333333333,-0.384927066450572,2359776536.31285,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2005,,,,,,29.038095238095234,29.4,False
AW,2006,100830.0,44.511,2.33333333333333,1.13890583689242,2469832402.23464,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2006,,,,,,29.052941176470586,29.4,False
AW,2007,101226.0,44.147,2.33333333333333,3.09672230042229,2677653631.28492,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2007,,,,,,28.165625,28.0,False
AW,2008,101362.0,43.783,2.33333333333333,1.83343085625123,2843016759.77654,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2008,,,,,,28.24927536231884,28.3,False
AW,2009,101452.0,43.421,2.33333333333333,-11.6835855200153,2553631284.9162,,11.1111111111111,,,,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,1,180.0,AW,2009,,,,,,28.63953488372093,28.9,False
